"TMLE2O1","TMLE3O1","TMLE2O2","TMLE3O2","TMLE2O3","TMLE3O3"
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,0,1,0,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,0,0,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,0,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,0,1,0
1,1,1,1,1,0
1,0,1,1,0,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,0,1,0
0,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,0,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,0,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
0,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,0,1,0,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,0,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,0,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,0,1,0,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,0,1,0,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,1,0
0,0,1,1,1,0
0,0,1,1,1,0
0,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,0,1,1,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,0,0
0,1,1,1,0,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,0,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,0,1,0
1,0,1,0,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
0,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,0,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
0,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,1,0,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,0,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,0,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,0,0,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,0,1,0,0
1,0,1,1,1,0
0,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,0,0,0
1,0,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,1,1,1,0
0,0,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,0,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,1,0
1,1,1,1,1,0
1,1,0,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
1,1,1,1,1,0
